state_cluster_id,lag_cluster,id_no,state,id,year,total_distance,medoid_rank1,medoid_rank2,noswitch,switched,n_noswitch,n_switched,flag
2,2,9,District of Columbia,DC,2011,6.5,,20,1,0,45,6,0
1,1,10,Florida,FL,2011,2.5178573,3.5,,1,0,45,6,0
1,1,11,Georgia,GA,2011,5.3035712,27,,1,0,45,6,0
2,2,12,Hawaii,HI,2011,4.9347825,,11,1,0,45,6,0
1,1,13,Idaho,ID,2011,2.4107144,1.5,,1,0,45,6,0
2,2,14,Illinois,IL,2011,6.456522,,19,1,0,45,6,0
1,1,15,Indiana,IN,2011,3.5535719,13.5,,1,0,45,6,0
1,1,16,Iowa,IA,2011,3.1250002,5.5,,1,0,45,6,0
1,1,17,Kansas,KS,2011,3.1964285,9,,1,0,45,6,0
1,1,18,Kentucky,KY,2011,3.1964285,9,,1,0,45,6,0
1,2,19,Louisiana,LA,2011,3.5535719,13.5,,0,1,45,6,0
2,2,20,Maine,ME,2011,5.586956,,14.5,1,0,45,6,0
2,2,21,Maryland,MD,2011,3.760869,,3,1,0,45,6,0
2,2,22,Massachusetts,MA,2011,5.4565215,,13,1,0,45,6,0
2,2,23,Michigan,MI,2011,4.6304345,,9,1,0,45,6,0
2,2,24,Minnesota,MN,2011,6.826087,,22,1,0,45,6,0
1,1,25,Mississippi,MS,2011,4.0535717,21,,1,0,45,6,0
1,1,26,Missouri,MO,2011,2.5178573,3.5,,1,0,45,6,0
1,1,27,Montana,MT,2011,3.1250002,5.5,,1,0,45,6,0
2,2,28,Nebraska,NE,2011,5.3478255,,12,1,0,45,6,0
1,1,29,Nevada,NV,2011,3.8392861,18,,1,0,45,6,0
1,1,30,New Hampshire,NH,2011,4.125,22.5,,1,0,45,6,0
2,2,31,New Jersey,NJ,2011,4.4782605,,7,1,0,45,6,0
2,2,32,New Mexico,NM,2011,5.8478255,,17,1,0,45,6,0
2,2,33,New York,NY,2011,5.673913,,16,1,0,45,6,0
1,2,34,North Carolina,NC,2011,4.0178576,20,,0,1,45,6,0
1,1,35,North Dakota,ND,2011,3.7678578,17,,1,0,45,6,0
1,1,36,Ohio,OH,2011,3.7678573,15.5,,1,0,45,6,0
2,2,37,Oklahoma,OK,2011,6.543478,,21,1,0,45,6,0
2,1,38,Oregon,OR,2011,4.717391,,10,0,1,45,6,0
2,2,39,Pennsylvania,PA,2011,3.8043475,,4,1,0,45,6,0
2,2,40,Rhode Island,RI,2011,3.6304345,,1.5,1,0,45,6,0
1,1,41,South Carolina,SC,2011,4.125,22.5,,1,0,45,6,0
1,1,42,South Dakota,SD,2011,2.4107144,1.5,,1,0,45,6,0
1,2,43,Tennessee,TN,2011,4.5892863,25,,0,1,45,6,0
2,2,44,Texas,TX,2011,6.347826,,18,1,0,45,6,0
1,1,45,Utah,UT,2011,5.6964288,28,,1,0,45,6,0
2,1,46,Vermont,VT,2011,4.369565,,6,0,1,45,6,0
1,1,47,Virginia,VA,2011,3.446429,12,,1,0,45,6,0
2,2,48,Washington,WA,2011,5.586956,,14.5,1,0,45,6,0
1,1,49,West Virginia,WV,2011,3.1964285,9,,1,0,45,6,0
2,2,50,Wisconsin,WI,2011,3.6304345,,1.5,1,0,45,6,0
1,1,51,Wyoming,WY,2011,3.7678573,15.5,,1,0,45,6,0
1,1,1,Alabama,AL,2012,3.9782608,21,,1,0,46,5,0
1,1,2,Alaska,AK,2012,1.9347825,3,,1,0,46,5,0
1,1,3,Arizona,AZ,2012,3.4130433,17.5,,1,0,46,5,0
2,1,4,Arkansas,AR,2012,4.8571434,,14,0,1,46,5,0
2,2,5,California,CA,2012,7.8214283,,28,1,0,46,5,0
1,1,6,Colorado,CO,2012,3.3478258,16,,1,0,46,5,0
2,2,7,Connecticut,CT,2012,4.75,,10,1,0,46,5,0
2,2,8,Delaware,DE,2012,3.75,,2,1,0,46,5,0
2,2,9,District of Columbia,DC,2012,6.5,,27,1,0,46,5,0
1,1,10,Florida,FL,2012,2.4347823,5,,1,0,46,5,0
1,1,11,Georgia,GA,2012,5.1304355,23,,1,0,46,5,0
2,2,12,Hawaii,HI,2012,4.8214293,,12.5,1,0,46,5,0
1,1,13,Idaho,ID,2012,1.9347825,3,,1,0,46,5,0
2,2,14,Illinois,IL,2012,6.2142854,,24,1,0,46,5,0
1,1,15,Indiana,IN,2012,2.9999998,13,,1,0,46,5,0
1,1,16,Iowa,IA,2012,2.7608695,10.5,,1,0,46,5,0
1,1,17,Kansas,KS,2012,2.673913,8.5,,1,0,46,5,0
1,1,18,Kentucky,KY,2012,2.673913,8.5,,1,0,46,5,0
2,1,19,Louisiana,LA,2012,4.4642859,,9,0,1,46,5,0
2,2,20,Maine,ME,2012,5.1071434,,17,1,0,46,5,0
2,2,21,Maryland,MD,2012,4.1071434,,7,1,0,46,5,0
